species,number of ticks,year,latitude,longitude
Haemaphysalis danieli,1,2025,98.37911,46.50943
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,4,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,7,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,6,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,6,2025,98.36028,46.52446
Haemaphysalis danieli,6,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,98.36028,46.52446
Haemaphysalis danieli,5,2025,99.89646,46.47979
Haemaphysalis danieli,3,2025,99.89646,46.47979
Haemaphysalis danieli,5,2025,99.89646,46.47979
Haemaphysalis danieli,5,2025,99.89646,46.47979
Haemaphysalis danieli,4,2025,99.89646,46.47979
Haemaphysalis danieli,5,2025,99.89646,46.47979
Haemaphysalis danieli,5,2025,99.89646,46.47979
Haemaphysalis danieli,5,2025,99.89646,46.47979
Haemaphysalis danieli,5,2025,101.88082,45.85861
Haemaphysalis danieli,5,2025,101.88082,45.85861
Haemaphysalis danieli,4,2025,101.88082,45.85861
Haemaphysalis danieli,6,2025,101.88082,45.85861
Haemaphysalis danieli,4,2025,101.88082,45.85861
Haemaphysalis danieli,10,2026,100.78311,46.35271
Haemaphysalis danieli,10,2026,100.78311,46.35271
Haemaphysalis danieli,10,2026,100.78311,46.35271
Haemaphysalis danieli,10,2026,100.78311,46.35271
Haemaphysalis danieli,10,2026,100.78311,46.35271
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,2,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
Haemaphysalis danieli,10,2026,101.53154,45.94811
